working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][0/9358]	eta 11:52:49 lr 0.000000000	time 4.5704 (4.5704)	tot_loss 0.1548 (0.1548)	mem 3750MB
Train: [0/300][50/9358]	eta 0:58:13 lr 0.000000002	time 0.2857 (0.3753)	tot_loss 0.4216 (0.6052)	mem 6728MB
Train: [0/300][100/9358]	eta 0:53:12 lr 0.000000004	time 0.2732 (0.3448)	tot_loss 0.4545 (0.6226)	mem 6728MB
Train: [0/300][150/9358]	eta 0:51:17 lr 0.000000006	time 0.3211 (0.3342)	tot_loss 0.7923 (0.6353)	mem 6728MB
Train: [0/300][200/9358]	eta 0:49:47 lr 0.000000009	time 0.3367 (0.3262)	tot_loss 0.9413 (0.6264)	mem 6728MB
Train: [0/300][250/9358]	eta 0:48:54 lr 0.000000011	time 0.2816 (0.3222)	tot_loss 0.2442 (0.6155)	mem 6728MB
Train: [0/300][300/9358]	eta 0:49:10 lr 0.000000013	time 0.2578 (0.3257)	tot_loss 0.2834 (0.6031)	mem 6728MB
Train: [0/300][350/9358]	eta 0:47:59 lr 0.000000015	time 0.2797 (0.3196)	tot_loss 0.2759 (0.5972)	mem 6729MB
Train: [0/300][400/9358]	eta 0:47:35 lr 0.000000017	time 0.2803 (0.3188)	tot_loss 0.6746 (0.6001)	mem 6729MB
Train: [0/300][450/9358]	eta 0:47:10 lr 0.000000019	time 0.2589 (0.3177)	tot_loss 0.6799 (0.6033)	mem 6729MB
Train: [0/300][500/9358]	eta 0:46:43 lr 0.000000021	time 0.2852 (0.3165)	tot_loss 0.8546 (0.6050)	mem 6729MB
Train: [0/300][550/9358]	eta 0:46:10 lr 0.000000023	time 0.2510 (0.3145)	tot_loss 0.8334 (0.6008)	mem 6729MB
Train: [0/300][600/9358]	eta 0:45:38 lr 0.000000026	time 0.2476 (0.3126)	tot_loss 0.6351 (0.5957)	mem 6729MB
Train: [0/300][650/9358]	eta 0:44:57 lr 0.000000028	time 0.2854 (0.3098)	tot_loss 0.6091 (0.5878)	mem 6729MB
Train: [0/300][700/9358]	eta 0:44:44 lr 0.000000030	time 0.2903 (0.3101)	tot_loss 0.4230 (0.5849)	mem 6729MB
Train: [0/300][750/9358]	eta 0:44:30 lr 0.000000032	time 0.3242 (0.3102)	tot_loss 0.5275 (0.5818)	mem 6729MB
Train: [0/300][800/9358]	eta 0:44:18 lr 0.000000034	time 0.3149 (0.3106)	tot_loss 0.6718 (0.5752)	mem 6729MB
Train: [0/300][850/9358]	eta 0:44:08 lr 0.000000036	time 0.2929 (0.3113)	tot_loss 0.6575 (0.5732)	mem 6729MB
Train: [0/300][900/9358]	eta 0:43:52 lr 0.000000038	time 0.2872 (0.3112)	tot_loss 0.7107 (0.5725)	mem 6729MB
Train: [0/300][950/9358]	eta 0:43:45 lr 0.000000040	time 0.3027 (0.3122)	tot_loss 0.4604 (0.5719)	mem 6729MB
Train: [0/300][1000/9358]	eta 0:43:32 lr 0.000000043	time 0.3028 (0.3126)	tot_loss 0.7430 (0.5692)	mem 6729MB
Train: [0/300][1050/9358]	eta 0:43:06 lr 0.000000045	time 0.2612 (0.3113)	tot_loss 0.3928 (0.5674)	mem 6729MB
Train: [0/300][1100/9358]	eta 0:42:40 lr 0.000000047	time 0.2634 (0.3101)	tot_loss 0.3547 (0.5651)	mem 6729MB
Train: [0/300][1150/9358]	eta 0:42:26 lr 0.000000049	time 0.3217 (0.3103)	tot_loss 0.7029 (0.5621)	mem 6729MB
Train: [0/300][1200/9358]	eta 0:42:19 lr 0.000000051	time 0.3877 (0.3113)	tot_loss 0.3458 (0.5603)	mem 6729MB
Train: [0/300][1250/9358]	eta 0:42:07 lr 0.000000053	time 0.2993 (0.3117)	tot_loss 0.6911 (0.5593)	mem 6729MB
Train: [0/300][1300/9358]	eta 0:41:49 lr 0.000000056	time 0.2817 (0.3114)	tot_loss 0.4921 (0.5579)	mem 6729MB
Train: [0/300][1350/9358]	eta 0:41:32 lr 0.000000058	time 0.2602 (0.3113)	tot_loss 0.2700 (0.5555)	mem 6729MB
Train: [0/300][1400/9358]	eta 0:41:16 lr 0.000000060	time 0.2296 (0.3112)	tot_loss 0.5450 (0.5536)	mem 6729MB
Train: [0/300][1450/9358]	eta 0:40:59 lr 0.000000062	time 0.2704 (0.3111)	tot_loss 0.5703 (0.5506)	mem 6729MB
Train: [0/300][1500/9358]	eta 0:40:45 lr 0.000000064	time 0.3404 (0.3113)	tot_loss 0.5788 (0.5487)	mem 6729MB
Train: [0/300][1550/9358]	eta 0:40:31 lr 0.000000066	time 0.3074 (0.3115)	tot_loss 0.4121 (0.5460)	mem 6729MB
Train: [0/300][1600/9358]	eta 0:40:17 lr 0.000000068	time 0.3167 (0.3116)	tot_loss 0.2652 (0.5448)	mem 6729MB
Train: [0/300][1650/9358]	eta 0:39:59 lr 0.000000070	time 0.2538 (0.3113)	tot_loss 0.5398 (0.5435)	mem 6729MB
Train: [0/300][1700/9358]	eta 0:39:41 lr 0.000000073	time 0.2510 (0.3110)	tot_loss 0.4305 (0.5415)	mem 6729MB
Train: [0/300][1750/9358]	eta 0:39:19 lr 0.000000075	time 0.2584 (0.3101)	tot_loss 0.5643 (0.5395)	mem 6729MB
Train: [0/300][1800/9358]	eta 0:39:06 lr 0.000000077	time 0.3799 (0.3104)	tot_loss 0.3097 (0.5376)	mem 6729MB
